Year,Location,Plant_Date,County,Date,LocMinTempF,LocMaxTempF,CIMIS,StatMinTempF,StatMaxTempF,HeadM105,HeadM206,HeadM209,HeadM210,HeadM211,HeadM401,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-09,63.7,81.0,Verona235,56.9,82.9,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-10,55.0,79.9,Verona235,49.9,85.1,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-11,56.4,92.7,Verona235,54.2,89.9,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-12,58.7,91.1,Verona235,57.5,92.9,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-13,59.3,97.5,Verona235,53.7,98.5,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-14,62.6,95.8,Verona235,58.9,100.5,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-15,64.6,93.1,Verona235,56.4,95.4,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-16,62.3,84.3,Verona235,56.2,89.9,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-17,59.7,80.8,Verona235,55.3,83.2,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-18,58.5,79.5,Verona235,54.7,84.0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-19,58.5,84.6,Verona235,55.9,86.7,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-20,57.6,90.1,Verona235,55.9,90.0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-21,57.8,85.2,Verona235,56.3,89.0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-22,55.5,91.2,Verona235,50.2,98.2,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-23,57.9,95.5,Verona235,55.3,99.7,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-24,62.4,93.4,Verona235,57.2,97.9,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-25,62.9,96.3,Verona235,58.2,95.9,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-26,61.7,99.2,Verona235,54.3,100.9,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-27,64.5,100.7,Verona235,61.4,101.3,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-07-28,65.6,98.5,Verona235,58.5,98.1,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
